# Bearings,Reorientation_Speeds
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
-1.708590044117611626e+02,0.000000000000000000e+00
-1.619718302909814156e+02,0.000000000000000000e+00
-1.536871494998205492e+02,0.000000000000000000e+00
1.173753397548350108e+02,0.000000000000000000e+00
1.201178380484112154e+02,9.600000000000000000e+01
1.227161480117443944e+02,9.600000000000000000e+01
1.251714941354725852e+02,9.600000000000000000e+01
1.274870687741559436e+02,9.600000000000000000e+01
1.296675385248248062e+02,9.600000000000000000e+01
1.317186091871363374e+02,9.600000000000000000e+01
1.336466592759276182e+02,9.600000000000000000e+01
1.354584430095388825e+02,9.600000000000000000e+01
1.371608579798885330e+02,9.600000000000000000e+01
1.371608579798885330e+02,0.000000000000000000e+00
1.387607696537133393e+02,0.000000000000000000e+00
1.402648836995425654e+02,0.000000000000000000e+00
1.416796572047633731e+02,0.000000000000000000e+00
1.430112406143906014e+02,0.000000000000000000e+00
1.442654433164722718e+02,0.000000000000000000e+00
1.454477169792018003e+02,0.000000000000000000e+00
1.465631518720887811e+02,0.000000000000000000e+00
1.476164824070826285e+02,0.000000000000000000e+00
1.486120989884451546e+02,0.000000000000000000e+00
1.495540639614245038e+02,0.000000000000000000e+00
1.504461300120910323e+02,0.000000000000000000e+00
1.512917598126975918e+02,0.000000000000000000e+00
1.520941460486428127e+02,0.000000000000000000e+00
1.520941460486428127e+02,0.000000000000000000e+00
1.578520959850200711e+02,0.000000000000000000e+00
1.622919407699910721e+02,0.000000000000000000e+00
9.237968173635101721e+01,0.000000000000000000e+00
9.473012877857621561e+01,7.200000000000000000e+01
9.706473534953028093e+01,7.200000000000000000e+01
9.937601179621367464e+01,7.200000000000000000e+01
1.016569192092796357e+02,7.200000000000000000e+01
